Scooter|Blaney|12|27|10|8|1|16|3|6|2|24|37|10|11|13|7|8|8|10|9|6|7|1|11|26|3
Scooter|Larson|5|16|32|6|3|7|32|9|3|2|40|34|23|26|5|23|4|5|3|4|34|34|15|39|33
Scooter|Zilisch|88|33|30|14|29|32|18|26|33|29|26|16|20|5|39|38|37|23|37|7|38|28|32|34|11
Mark|Elliot|9|4|11|7|23|2|15|1|22|8|4|1|24|27|37|7|32|11|12|17|11|13|17|37|15
Mark|Byron|24|12|28|13|7|3|8|5|30|7|35|8|36|7|9|30|18|3|32|12|4|16|12|21|9
Mark|Van Gisbergen|97|30|6|2|11|36|14|11|34|36|20|17|1|19|11|5|30|31|38|1|25|6|5|16|30
Evan|Bell|20|35|21|3|2|4|19|7|27|20|17|38|21|23|2|2|31|26|39|5|2|2|19|2|2
Evan|Chastain|1|20|3|35|28|17|16|16|20|26|7|26|27|27|35|37|16|8|7|14|18|11|27|23|7
Evan|Hocevar|77|18|4|31|20|22|4|17|10|13|1|7|28|14|23|10|5|20|19|11|22|3|13|9|31
Jake|Hamlin|11|31|13|10|5|1|11|2|9|4|15|2|16|1|3|1|1|1|14|26|3|12|2|5|5
Jake|Briscoe|19|36|2|37|37|8|12|14|5|3|29|23|4|2|34|3|10|12|17|2|1|36|3|4|6
Jake|Logano|22|3|18|15|31|15|33|3|7|30|39|37|38|25|8|14|7|34|18|24|12|9|1|3|14
